Date,Principal ID,Principal Type,Event,Detail
20201014T141544.720,150699557,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141544.779,150773617,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141544.800,150777922,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141544.899,150784872,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141544.991,150844727,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.037,150966199,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.068,179451245,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.138,200063499,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.243,200129600,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.282,200169734,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.302,200260650,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.395,200435930,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.493,200529951,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.551,200545590,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.666,200856693,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.753,200901151,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.800,201216906,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141545.873,201326884,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141546.105,250053616,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141546.220,250093529,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141546.319,250099071,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.094,250260956,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.164,250325799,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.258,250395738,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.291,250864509,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.533,271618847,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.724,274299070,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.860,312719183,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141547.967,313214018,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141548.046,313221081,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141548.788,313721173,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141548.974,313912963,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141549.041,441082696,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141549.141,441084907,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141549.633,441086950,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.280,441269028,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.440,442270704,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.499,630424853,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.574,630428654,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.664,630433119,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.741,630461376,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.788,638240557,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.892,639419356,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141550.994,640310893,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.067,640789293,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.149,640793045,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.256,640793134,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.288,640793142,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.380,640807283,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.454,640814417,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.507,640841325,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.532,640858465,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.619,640872395,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.687,640872999,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.745,640926924,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.773,652225012,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.794,670876291,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.831,670931365,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141551.928,670977081,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.012,670978361,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.038,670981168,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.065,670993573,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.187,671036531,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.255,671039229,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.282,671079573,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.316,690876459,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.426,690903006,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.501,690907826,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.535,690909225,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.581,690928564,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.662,690932596,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.736,690938977,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.779,690948018,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.813,690963033,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.894,690978758,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141552.986,690978901,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141553.023,690995571,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141553.050,691000621,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141553.416,691012245,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141553.654,691015181,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
20201014T141553.736,691020442,U,error,"Change$Update$User: SyncTargetException: StatusException$Invalid: <status code=""invalid""><invalid field=""email"" type=""string"" subcode=""format""/></status>"
